a,b,k,d,ad,overlap_days,a_name,b_name
sse/880464,sse/880812,119,-0.46616718014985603,0.46616718014985603,1974,sse/880464 仓储物流,sse/880812 昨日连板
sse/880867,sse/880779,102,0.4634604159948912,0.4634604159948912,1682,sse/880867 昨高换手,sse/880779 高融资盘
sse/880424,sse/880640,114,0.46289591243079514,0.46289591243079514,919,sse/880424 旅游,sse/880640 历史新高
sse/880867,sse/880882,110,0.4621215806985395,0.4621215806985395,2215,sse/880867 昨高换手,sse/880882 久不分红
sse/880802,sse/880812,114,-0.46170291310323053,0.46170291310323053,1974,sse/880802 QFII重仓,sse/880812 昨日连板
sse/880825,sse/880752,98,0.46110982907875,0.46110982907875,797,sse/880825 预计转亏,sse/880752 昨曾跌停
sse/880867,sse/880082,91,-0.4591009860400354,0.4591009860400354,1058,sse/880867 昨高换手,sse/880082 板块趋势
sse/880474,sse/880752,111,0.4564959042009704,0.4564959042009704,1171,sse/880474 多元金融,sse/880752 昨曾跌停
sse/880380,sse/880082,103,-0.4560842143926023,0.4560842143926023,1058,sse/880380 酿酒,sse/880082 板块趋势
sse/880785,sse/880640,18,0.45566418453506685,0.45566418453506685,919,sse/880785 最近多板,sse/880640 历史新高
sse/880399,sse/880082,111,-0.4554885375396238,0.4554885375396238,1058,sse/880399 家居用品,sse/880082 板块趋势
sse/880380,sse/880812,108,-0.45541792722884583,0.45541792722884583,1974,sse/880380 酿酒,sse/880812 昨日连板
sse/880400,sse/880817,101,0.4554106527641309,0.4554106527641309,1820,sse/880400 医药,sse/880817 商誉减值
sse/880836,sse/880781,89,0.4543527136066958,0.4543527136066958,1364,sse/880836 配股股,sse/880781 QFII新进
sse/880774,sse/880751,99,-0.4534431956391478,0.4534431956391478,1163,sse/880774 昨日首板,sse/880751 昨日跌停
sse/880867,sse/880769,104,0.452003495709705,0.452003495709705,1435,sse/880867 昨高换手,sse/880769 股权集中
sse/880868,sse/880752,113,0.4508691318275012,0.4508691318275012,1171,sse/880868 高贝塔值,sse/880752 昨曾跌停
