a,b,a_name,b_name,overlap_days,r0_raw_close,k_raw20,d_raw20,d_raw60max,r0_ret,k_ret_sig,d_ret_sig,k_ret60,d_ret60,h1_k,h1_d,h2_k,h2_d,half_stable,half_sign_consistent,p_bs,bs_pass,verdict
sse/880774,sse/880782,sse/880774 昨日首板,sse/880782 保险新进,1678,0.23718134895445,20,0.17332213211653513,0.32138452177681814,0.04446578327459035,18,0.07305650429146951,40,0.09957239806114718,18,0.0785365715935996,6,0.06780810923066227,False,True,,False,rejected:not_stable_not_significant
sse/880865,sse/880772,sse/880865 近期新高,sse/880772 最近闪拉,1038,-0.5149702085571523,20,0.19167546197540275,0.5448969782225972,0.05967821912369392,18,-0.07299201602698731,48,-0.08559603625357674,12,0.12126368649980745,20,-0.09677940424403979,False,False,,False,rejected:sign_flips_between_halves
sse/880562,sse/880772,sse/880562 高校背景,sse/880772 最近闪拉,1038,-0.5934626946697714,20,0.18526114397010512,0.5184887520155057,0.08013355061131308,14,0.07292150898791054,31,0.08578069252064718,2,0.1315324692141178,20,-0.1246761783204485,False,False,,False,rejected:sign_flips_between_halves
sse/880853,sse/880603,sse/880853 中字头,sse/880603 新进指标股,1086,0.47551591580020136,20,0.15518336190427412,0.37774671620246864,0.5533971323955292,18,-0.07284072106959905,39,0.07984710105669836,1,-0.16623114377881681,9,-0.08149011014728169,False,True,,False,rejected:not_stable_not_significant
sse/880344,sse/880619,sse/880344 建材,sse/880619 业绩预增,1044,0.4425007549882208,20,-0.14868603154831933,0.47775141126822757,0.4900910696145636,11,-0.07276864589711801,27,-0.13818150090608114,16,-0.18409288388493933,17,-0.12612165687828486,True,True,,False,rejected:half-stable
sse/880472,sse/880773,sse/880472 证券,sse/880773 最近闪跌,983,-0.2376069771004359,20,0.1689918120201323,0.1985562408269446,0.04497958345791931,1,0.07256525452553478,41,0.12978366907682692,6,-0.16911851513932055,11,-0.17057381285663054,True,True,,False,rejected:half-stable
sse/880562,sse/880677,sse/880562 高校背景,sse/880677 活跃可转债,731,-0.03423673960917236,20,0.21425953414343107,0.6198823402274314,0.7344868969741111,3,-0.07231572036543031,49,0.09291706337269602,3,-0.09286318871617301,1,-0.10130610171525237,True,True,,False,rejected:half-stable
sse/880889,sse/880735,sse/880889 不活跃股,sse/880735 专精特新,1185,0.42355048225636466,20,0.14904976636218908,0.46601718529251523,0.7103029809854446,15,-0.07230423057548704,15,-0.07230423057548704,1,-0.13194799886013783,15,-0.09072464528240551,False,True,,False,rejected:not_stable_not_significant
sse/880804,sse/880603,sse/880804 信托重仓,sse/880603 新进指标股,1086,0.3600284335726222,20,0.15488920980034593,0.4651392448977198,0.534628618027835,1,-0.07228610328045672,39,0.11979847361718811,1,-0.20182479358127448,12,-0.0890970303585352,False,True,,False,rejected:not_stable_not_significant
sse/880773,sse/880786,sse/880773 最近闪跌,sse/880786 海外业务,910,-0.1414785237004519,20,-0.2271481943495655,0.3245216289152693,0.06228441130829407,18,-0.07228567886646842,41,-0.139695015366473,18,-0.12555614079072797,6,-0.09481494789847758,False,True,,False,rejected:not_stable_not_significant
sse/880489,sse/880677,sse/880489 IT设备,sse/880677 活跃可转债,731,-0.06532476633020767,20,0.19817382644451434,0.5234989219758767,0.7353237883086415,14,0.07219398581522754,49,0.08547632095512513,14,0.1423146458069366,16,-0.10695871743326052,False,False,,False,rejected:sign_flips_between_halves
sse/880866,sse/880879,sse/880866 近期新低,sse/880879 低价股,2239,-0.10531834363406194,20,0.17865995115666106,0.48218736392462547,0.16544723862368105,19,0.07208625556546108,50,0.11359955751321145,16,-0.1825302910406189,19,0.11298452239447199,False,False,,False,rejected:sign_flips_between_halves
sse/880603,sse/880619,sse/880603 新进指标股,sse/880619 业绩预增,1044,0.6421284093334234,20,-0.12295318745371586,0.41529365683414987,0.5795724064886423,9,0.0720790665369365,27,-0.0793994779656393,16,-0.09043044326458857,9,0.10218526272719505,False,False,,False,rejected:sign_flips_between_halves
sse/880835,sse/880620,sse/880835 绩优股,sse/880620 券商金股,1042,0.43218837785223685,20,-0.16378146001918503,0.4940528720924137,0.7279259633399726,8,-0.07205983042368047,30,-0.08620391516329093,5,-0.11730772381690206,7,-0.07065184515204398,True,True,,False,rejected:half-stable
sse/880721,sse/880677,sse/880721 北上重仓,sse/880677 活跃可转债,731,-0.2638832664802462,20,0.19989414569166883,0.5565143789186489,0.4976969093446934,17,0.07200382011697647,47,0.09271408977454684,2,0.13931430540111883,14,-0.1065354564977561,False,False,,False,rejected:sign_flips_between_halves
sse/880859,sse/880677,sse/880859 员工持股,sse/880677 活跃可转债,731,-0.12560621838700198,20,0.1765279136944609,0.4835041343878149,0.6822947848568659,5,0.07194832760736823,34,0.08769706432770372,5,0.10960925770551097,1,-0.11253402178676251,False,False,,False,rejected:sign_flips_between_halves
sse/880781,sse/880677,sse/880781 QFII新进,sse/880677 活跃可转债,731,-0.0006831751875444482,20,0.1632133573472272,0.5023376900157247,0.7687809841205933,3,-0.07194353692808993,49,0.07680775230656955,5,0.14092081480910162,6,0.0934514374275091,True,True,,False,rejected:half-stable
sse/880836,sse/880792,sse/880836 配股股,sse/880792 基金增仓,1275,0.3268774923437288,20,0.13217626060874413,0.4282965003962467,0.5273598780842763,14,-0.07192236121918244,57,0.08727010878087807,1,-0.08865688562193036,2,0.14640825202419988,False,False,,False,rejected:sign_flips_between_halves
sse/880867,sse/880881,sse/880867 昨高换手,sse/880881 近期弱势,2197,0.025187289566115434,20,0.1302236833391182,0.4139437308001698,0.12162490327030957,16,-0.07176723979856585,41,-0.0874966228311363,16,-0.15701940654063712,3,-0.0510359098842911,False,True,,False,rejected:not_stable_not_significant
sse/880814,sse/880773,sse/880814 拟增持,sse/880773 最近闪跌,983,-0.3360435382944468,20,0.1573038898458425,0.4120183485385383,0.041146803491723796,3,0.07166890572143053,41,0.20059819839692555,1,0.10351844160097198,3,0.12798641405695121,True,True,,False,rejected:half-stable
sse/880866,sse/880882,sse/880866 近期新低,sse/880882 久不分红,2179,-0.10772902528937607,20,0.1462623204037951,0.4152196658973789,0.16051048020974687,19,0.07164161117252729,50,0.1199844109783525,16,-0.18917742002177415,3,-0.11330598243778284,False,True,,False,rejected:not_stable_not_significant
sse/880804,sse/880735,sse/880804 信托重仓,sse/880735 专精特新,1206,0.422332411825518,20,0.14829559126259012,0.47050426424903036,0.5870866440571625,2,0.07156761741945833,2,0.07156761741945833,1,-0.15948196955643185,12,-0.08368901782017636,False,True,,False,rejected:not_stable_not_significant
