a,b,k_signed,d_signed,k_absmax,d_absmax,overlap_days,a_name,b_name
sse/000001,sse/880476,60,0.0007907630430823431,21,0.008799845311955878,4750,sse/000001 上证综指,sse/880476 建筑
sse/000001,sse/880482,1,-0.00020698748984626647,43,0.01890618034092406,4750,sse/000001 上证综指,sse/880482 房地产
sse/000001,sse/880489,38,0.01598281118209821,38,0.01598281118209821,4750,sse/000001 上证综指,sse/880489 IT设备
sse/000001,sse/880490,2,0.00031985747787766083,60,0.043025091063092546,4750,sse/000001 上证综指,sse/880490 通信设备
sse/000001,sse/880491,6,0.0011859098476132424,60,0.02895343960802288,4750,sse/000001 上证综指,sse/880491 半导体
sse/000001,sse/880492,2,0.00018731263366988937,60,0.034864743716628455,4750,sse/000001 上证综指,sse/880492 元器件
sse/000001,sse/880493,1,-0.0008740111244358584,60,0.05037090912650549,4750,sse/000001 上证综指,sse/880493 软件服务
sse/000001,sse/880494,1,-0.0012371882799567802,60,0.06056682223650142,4750,sse/000001 上证综指,sse/880494 互联网
sse/000001,sse/880497,26,0.0060652621205071755,26,0.0060652621205071755,4750,sse/000001 上证综指,sse/880497 综合类
sse/000001,sse/880532,60,0.0328485994715233,60,0.0328485994715233,4750,sse/000001 上证综指,sse/880532 整体上市
sse/000001,sse/880538,1,-0.0002126829116340101,60,0.027561436862086452,4750,sse/000001 上证综指,sse/880538 参股金融
sse/000001,sse/880539,39,0.005177776966675263,39,0.005177776966675263,4750,sse/000001 上证综指,sse/880539 股权激励
sse/000001,sse/880801,60,0.011768314447954453,60,0.011768314447954453,4750,sse/000001 上证综指,sse/880801 基金重仓
sse/000001,sse/880802,1,-0.0002500512543807676,60,0.007960642663700723,4750,sse/000001 上证综指,sse/880802 QFII重仓
sse/000001,sse/880803,28,0.002429881723964189,28,0.002429881723964189,4750,sse/000001 上证综指,sse/880803 券商重仓
sse/000001,sse/880804,1,-0.00041467761357361077,60,0.029169585820441157,4750,sse/000001 上证综指,sse/880804 信托重仓
sse/000001,sse/880805,1,-0.00042839594723131924,60,0.018424637301432067,4750,sse/000001 上证综指,sse/880805 保险重仓
sse/000001,sse/880806,1,-0.0004619752509366082,60,0.022570018217819232,4750,sse/000001 上证综指,sse/880806 社保重仓
sse/000001,sse/880821,50,0.002519839485634834,50,0.002519839485634834,4750,sse/000001 上证综指,sse/880821 大盘股
sse/000001,sse/880823,1,-0.00017407475183761623,60,0.04186497109503551,4750,sse/000001 上证综指,sse/880823 微盘股
sse/000001,sse/880824,60,0.03335486791559865,60,0.03335486791559865,4750,sse/000001 上证综指,sse/880824 高市盈率
sse/000001,sse/880826,1,-0.00045622411931678375,60,0.02343467968359836,4750,sse/000001 上证综指,sse/880826 低市盈率
sse/000001,sse/880827,60,0.028689325146599498,60,0.028689325146599498,4750,sse/000001 上证综指,sse/880827 高市净率
sse/000001,sse/880829,1,-0.0007072561105005981,60,0.03907812466155747,4750,sse/000001 上证综指,sse/880829 低市净率
sse/000001,sse/880833,60,0.0620092200113454,60,0.0620092200113454,4750,sse/000001 上证综指,sse/880833 亏损股
sse/000001,sse/880834,60,0.02566266030048736,60,0.02566266030048736,4750,sse/000001 上证综指,sse/880834 微利股
sse/000001,sse/880835,60,0.027113143933141126,60,0.027113143933141126,4750,sse/000001 上证综指,sse/880835 绩优股
sse/000001,sse/880836,60,0.06274950700050985,60,0.06274950700050985,4436,sse/000001 上证综指,sse/880836 配股股
sse/000001,sse/880837,44,0.009079191919041857,44,0.009079191919041857,4750,sse/000001 上证综指,sse/880837 活跃股
sse/000001,szse/399001,60,0.07531976514763083,60,0.07531976514763083,4750,sse/000001 上证综指,szse/399001 深证成指
sse/000001,szse/399101,40,0.01484607081232392,40,0.01484607081232392,4750,sse/000001 上证综指,szse/399101 中小板综指
sse/000001,szse/399300,60,0.02836534790789802,60,0.02836534790789802,4750,sse/000001 上证综指,szse/399300 沪深300
sse/000001,szse/399481,1,-0.004207400678774897,60,0.2108501746032077,4750,sse/000001 上证综指,szse/399481 企债指数
sse/000001,sse/880473,1,-0.002458213245898788,60,0.09460216519117415,4738,sse/000001 上证综指,sse/880473 保险
sse/000001,sse/880447,1,-0.000466978384317418,52,0.009033662665237863,4393,sse/000001 上证综指,sse/880447 工程机械
sse/000001,szse/399102,39,0.016105077887817454,39,0.016105077887817454,3921,sse/000001 上证综指,szse/399102 创业板综
sse/000001,sse/880543,1,-0.00020039349979117382,60,0.01579677598420237,3585,sse/000001 上证综指,sse/880543 外资背景
sse/000001,sse/880562,1,-8.686442189254073e-05,60,0.03060436370195352,3414,sse/000001 上证综指,sse/880562 高校背景
sse/000001,sse/880565,60,0.03178904934326432,60,0.03178904934326432,3414,sse/000001 上证综指,sse/880565 送转潜力
sse/000001,sse/880842,59,0.017975443579397288,59,0.017975443579397288,3227,sse/000001 上证综指,sse/880842 业绩预升
sse/000001,sse/880843,1,-0.00015625275715171194,60,0.019312043380940565,3086,sse/000001 上证综指,sse/880843 业绩预降
sse/000001,sse/880573,60,0.09728118960870558,60,0.09728118960870558,3350,sse/000001 上证综指,sse/880573 摘帽
sse/000001,sse/880576,60,0.09335140915989759,60,0.09335140915989759,3335,sse/000001 上证综指,sse/880576 重组股
sse/000001,sse/880807,1,-0.0007740027254830029,56,0.00874401975437189,3314,sse/000001 上证综指,sse/880807 股东增持
sse/000001,sse/880808,40,0.015900960815214193,40,0.015900960815214193,3314,sse/000001 上证综指,sse/880808 股东减持
sse/000001,sse/880809,30,0.010715767743125437,30,0.010715767743125437,3314,sse/000001 上证综指,sse/880809 基金独门
sse/000001,sse/880844,6,0.001310835944567712,60,0.08789572813293756,2992,sse/000001 上证综指,sse/880844 预计扭亏
sse/000001,sse/880845,1,-0.0003361437182193283,60,0.041218697252112246,3312,sse/000001 上证综指,sse/880845 高股息股
sse/000001,sse/880846,60,0.018475291094825597,60,0.018475291094825597,3221,sse/000001 上证综指,sse/880846 破净资产
sse/000001,sse/880847,17,0.0007597254323147284,60,0.0019472150361395935,3306,sse/000001 上证综指,sse/880847 行业龙头
sse/000001,sse/880848,60,0.0670537794587982,60,0.0670537794587982,3092,sse/000001 上证综指,sse/880848 被举牌
sse/000001,sse/880849,7,0.0010646266480193178,60,0.015650958692328576,3092,sse/000001 上证综指,sse/880849 回购计划
sse/000001,sse/880850,60,0.032605718830645336,60,0.032605718830645336,3092,sse/000001 上证综指,sse/880850 定增预案
sse/000001,sse/880851,60,0.014430312144224217,16,0.015961095727196173,2810,sse/000001 上证综指,sse/880851 已高送转
