x,x_name,overlap_days,dir,k*,d(k*),r0_ret,k20,d(k20),half_stable,raw_d@k*,raw_k*
sse/880846,sse/880846 破净资产,3217,mic_leads_X,7,0.08581297402142651,0.4103255089518272,7,0.08581297402142651,True,-0.0013494100492130734,46
sse/880895,sse/880895 持续增长,1988,X_leads_mic,3,-0.08572590122833176,0.32094672734777674,3,-0.08572590122833176,True,-0.003625945149154264,53
sse/880821,sse/880821 大盘股,4749,X_leads_mic,1,-0.0851141428924907,0.6975810314365164,1,-0.0851141428924907,True,-3.116714832718248e-05,60
sse/880897,sse/880897 即将解禁,1986,mic_leads_X,30,0.0848442774018055,0.6715606804828734,1,-0.07916741214044123,True,0.05073547859744437,60
szse/399300,szse/399300 沪深300,4749,X_leads_mic,1,-0.08392428822243339,0.7659980375060723,1,-0.08392428822243339,True,3.2565439513798644e-05,60
szse/399481,szse/399481 企债指数,4749,X_leads_mic,25,-0.08345715844133884,-0.02510049215057215,19,0.04445631355905424,True,-0.010210414031270737,60
sse/880771,sse/880771 MSCI中盘,1746,X_leads_mic,2,-0.08278117062992675,0.625360421846351,2,-0.08278117062992675,True,0.0018288195541309449,60
sse/880970,sse/880970 分拆上市预期,1599,X_leads_mic,2,-0.08255797783475961,0.5787838411137266,2,-0.08255797783475961,True,0.003896380498566776,60
sse/880878,sse/880878 百元股,2274,X_leads_mic,1,-0.08060305651111548,0.546445237941324,1,-0.08060305651111548,True,0.00141234971200202,60
sse/880721,sse/880721 北上重仓,1240,X_leads_mic,2,-0.08060027097163008,0.3520953145432606,2,-0.08060027097163008,True,0.004668969667338541,60
sse/880874,sse/880874 昨曾涨停,2288,X_leads_mic,7,-0.08056992342609742,0.08737236751017888,7,-0.08056992342609742,True,0.017872231429300136,41
sse/880884,sse/880884 最近异动,2174,mic_leads_X,35,0.07982535741624126,0.17992482764671497,16,0.06725566868980563,True,0.14517223565379733,60
